418,1332,2467,100
512,1759,3220,200
513,2021,3833,300
619,2433,4620,400
777,2790,5736,500.00
872,2873,6606,600
904,3086,6867,700
927,3365,6934,800
1000,4045,7393,900
1027,4195,8783,1000
